hex_id,collision_date,collision_year,collision_dayofyear,collision_month,collision_dayofweek,collision_hour,accident_count
0,2014-01-01,2014,1,1,2,9,1
0,2014-01-01,2014,1,1,2,17,1
0,2014-01-02,2014,2,1,3,0,1
0,2014-01-02,2014,2,1,3,15,1
0,2014-01-02,2014,2,1,3,18,1
0,2014-01-02,2014,2,1,3,23,1
0,2014-01-03,2014,3,1,4,10,1
0,2014-01-04,2014,4,1,5,18,1
0,2014-01-04,2014,4,1,5,19,1
0,2014-01-04,2014,4,1,5,22,1
0,2014-01-05,2014,5,1,6,1,1
0,2014-01-06,2014,6,1,0,16,1
0,2014-01-06,2014,6,1,0,17,1
0,2014-01-06,2014,6,1,0,20,1
0,2014-01-06,2014,6,1,0,22,1
0,2014-01-07,2014,7,1,1,14,1
0,2014-01-08,2014,8,1,2,14,1
0,2014-01-08,2014,8,1,2,20,1
0,2014-01-09,2014,9,1,3,6,1
0,2014-01-09,2014,9,1,3,10,1
0,2014-01-09,2014,9,1,3,17,1
0,2014-01-10,2014,10,1,4,7,1
0,2014-01-10,2014,10,1,4,19,1
0,2014-01-11,2014,11,1,5,10,1
0,2014-01-12,2014,12,1,6,7,1
0,2014-01-12,2014,12,1,6,12,1
0,2014-01-12,2014,12,1,6,19,1
0,2014-01-12,2014,12,1,6,20,1
0,2014-01-12,2014,12,1,6,23,1
0,2014-01-13,2014,13,1,0,13,1
0,2014-01-14,2014,14,1,1,0,1
0,2014-01-15,2014,15,1,2,10,1
0,2014-01-15,2014,15,1,2,11,1
0,2014-01-16,2014,16,1,3,8,1
0,2014-01-16,2014,16,1,3,9,1
0,2014-01-16,2014,16,1,3,10,1
0,2014-01-16,2014,16,1,3,12,1
0,2014-01-16,2014,16,1,3,16,1
0,2014-01-16,2014,16,1,3,17,1
0,2014-01-17,2014,17,1,4,18,1
0,2014-01-18,2014,18,1,5,15,1
0,2014-01-19,2014,19,1,6,10,1
0,2014-01-20,2014,20,1,0,11,1
0,2014-01-20,2014,20,1,0,12,1
0,2014-01-20,2014,20,1,0,16,1
0,2014-01-21,2014,21,1,1,8,1
0,2014-01-21,2014,21,1,1,14,1
0,2014-01-21,2014,21,1,1,15,1
0,2014-01-21,2014,21,1,1,18,1
0,2014-01-21,2014,21,1,1,23,1
