hex_id,geometry,node_street_count,node_crossing,node_give_way,node_milestone,node_mini_roundabout,node_motorway_junction,node_stop,node_traffic_signals,node_traffic_signals;crossing,node_trailhead,node_turning_circle,node_turning_loop,hex_neighbors_0_ids,hex_neighbors_1_ids,hex_neighbors_2_ids,neighbor_1_node_street_count,neighbor_1_node_crossing,neighbor_1_node_give_way,neighbor_1_node_milestone,neighbor_1_node_mini_roundabout,neighbor_1_node_motorway_junction,neighbor_1_node_stop,neighbor_1_node_traffic_signals,neighbor_1_node_trailhead,neighbor_1_node_turning_circle,neighbor_1_node_turning_loop,neighbor_1_count,neighbor_2_node_street_count,neighbor_2_node_crossing,neighbor_2_node_give_way,neighbor_2_node_milestone,neighbor_2_node_mini_roundabout,neighbor_2_node_motorway_junction,neighbor_2_node_stop,neighbor_2_node_traffic_signals,neighbor_2_node_trailhead,neighbor_2_node_turning_circle,neighbor_2_node_turning_loop,neighbor_2_count,neighbor_1_node_street_count_ave,neighbor_1_node_crossing_ave,neighbor_1_node_give_way_ave,neighbor_1_node_milestone_ave,neighbor_1_node_mini_roundabout_ave,neighbor_1_node_motorway_junction_ave,neighbor_1_node_stop_ave,neighbor_1_node_traffic_signals_ave,neighbor_1_node_trailhead_ave,neighbor_1_node_turning_circle_ave,neighbor_1_node_turning_loop_ave,neighbor_2_node_street_count_ave,neighbor_2_node_crossing_ave,neighbor_2_node_give_way_ave,neighbor_2_node_milestone_ave,neighbor_2_node_mini_roundabout_ave,neighbor_2_node_motorway_junction_ave,neighbor_2_node_stop_ave,neighbor_2_node_traffic_signals_ave,neighbor_2_node_trailhead_ave,neighbor_2_node_turning_circle_ave,neighbor_2_node_turning_loop_ave,CITY_NAME,CITY_TYPE,CITY_LABEL,FEAT_TYPE,DISTRICT,edge_speed_kph_max,edge_speek_kph_min,edge_lanes_max,edge_lanes_min,edge_motorway_id,edge_motorway_link_id,edge_living_street_id,edge_bridge_id,edge_oneway_id,edge_tunnel_id,valid_accident_location_filter,collisions_neighbor_0_2014,collisions_neighbor_0_2015,collisions_neighbor_0_2016,collisions_neighbor_0_2017,collisions_neighbor_0_2018,collisions_neighbor_0_2019,collisions_neighbor_0_2020,collisions_neighbor_1_2014,collisions_neighbor_1_2015,collisions_neighbor_1_2016,collisions_neighbor_1_2017,collisions_neighbor_1_2018,collisions_neighbor_1_2019,collisions_neighbor_1_2020,collisions_neighbor_2_2014,collisions_neighbor_2_2015,collisions_neighbor_2_2016,collisions_neighbor_2_2017,collisions_neighbor_2_2018,collisions_neighbor_2_2019,collisions_neighbor_2_2020
8829a578d7fffff,"POLYGON ((-13153673.53878846 3993468.164021892, -13154318.09489185 3993665.080949858, -13154456.14511298 3994326.466460237, -13153949.59765182 3994790.972251582, -13153304.98807198 3994594.038117911, -13153166.97943418 3993932.615402441, -13153673.53878846 3993468.164021892))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,['8829a578d7fffff'],"['8829a578d1fffff', '8829a5789dfffff', '8829a578d3fffff', '8829a578d5fffff', '8829a5788bfffff', '8829a578d7fffff', '8829a57899fffff']","['8829a578d1fffff', '8829a578ddfffff', '8829a5789bfffff', '8829a5788bfffff', '8829a57883fffff', '8829a578c3fffff', '8829a57881fffff', '8829a5789dfffff', '8829a578d3fffff', '8829a57895fffff', '8829a578d5fffff', '8829a578d7fffff', '8829a57899fffff', '8829a5632dfffff', '8829a578d9fffff', '8829a578dbfffff', '8829a56325fffff', '8829a57889fffff', '8829a57891fffff']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Long Beach,City,Long Beach,Land,4,,,,,,,,,,,False,,,,,,,,,,,,,,,7.0,2.0,2.0,6.0,4.0,4.0,6.0
8829a56041fffff,"POLYGON ((-13164860.02405168 3995023.097878643, -13165504.48914769 3995219.33347436, -13165642.98117758 3995880.471016171, -13165136.96666985 3996345.410378391, -13164492.44798204 3996149.157808786, -13164353.9973982 3995487.982854665, -13164860.02405168 3995023.097878643))",3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,['8829a56041fffff'],"['8829a5604bfffff', '8829a56043fffff', '8829a56049fffff', '8829a56047fffff', '8829a56041fffff', '8829a56045fffff', '8829a5604dfffff']","['8829a56049fffff', '8829a56227fffff', '8829a56047fffff', '8829a5600dfffff', '8829a56237fffff', '8829a5604dfffff', '8829a5604bfffff', '8829a56223fffff', '8829a56045fffff', '8829a56313fffff', '8829a5606bfffff', '8829a56009fffff', '8829a56043fffff', '8829a56069fffff', '8829a56041fffff', '8829a56235fffff', '8829a5631bfffff', '8829a5605dfffff', '8829a56055fffff']",16.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5,39.0,0.0,0.0,0.0,0.0,8.0,4.0,13.0,0.0,0.0,0.0,12,3.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,3.25,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,1.0833333333333333,0.0,0.0,0.0,Los Angeles,City,Los Angeles,Land,4,95.5,101.7,3.0,2.0,True,True,False,True,True,False,True,3.0,2.0,2.0,6.0,1.0,3.0,2.0,13.0,14.0,17.0,22.0,9.0,12.0,10.0,43.0,60.0,50.0,56.0,46.0,40.0,36.0
8829a56069fffff,"POLYGON ((-13162558.88747591 3995560.161469696, -13163203.4083719 3995756.533350404, -13163341.81749317 3996417.745697288, -13162835.66424381 3996882.623540496, -13162191.08977354 3996686.23463555, -13162052.72213135 3996024.984915456, -13162558.88747591 3995560.161469696))",5.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,['8829a56069fffff'],"['8829a56317fffff', '8829a5606bfffff', '8829a56061fffff', '8829a56069fffff', '8829a5606dfffff', '8829a56045fffff', '8829a56313fffff']","['8829a5633bfffff', '8829a56315fffff', '8829a56047fffff', '8829a56067fffff', '8829a56061fffff', '8829a56065fffff', '8829a5600dfffff', '8829a56063fffff', '8829a5604dfffff', '8829a56311fffff', '8829a56045fffff', '8829a56313fffff', '8829a56317fffff', '8829a5606bfffff', '8829a56069fffff', '8829a56041fffff', '8829a5631bfffff', '8829a5606dfffff', '8829a56333fffff']",15.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,4,31.0,0.0,0.0,0.0,0.0,9.0,1.0,6.0,0.0,0.0,0.0,12,3.75,0.0,0.0,0.0,0.0,1.5,0.0,1.0,0.0,0.0,0.0,2.5833333333333335,0.0,0.0,0.0,0.0,0.75,0.08333333333333333,0.5,0.0,0.0,0.0,Long Beach,City,Long Beach,Land,4,95.5,101.7,4.0,1.0,True,True,False,True,True,False,True,4.0,3.0,5.0,7.0,0.0,1.0,5.0,14.0,10.0,19.0,17.0,7.0,9.0,9.0,24.0,21.0,30.0,29.0,17.0,26.0,20.0
8829a5622dfffff,"POLYGON ((-13164029.46939622 3991056.511409723, -13164673.77604134 3991252.815305886, -13164812.19977103 3991913.86508851, -13164306.27542506 3992378.648360134, -13163661.91522416 3992182.327484683, -13163523.53292946 3991521.240320713, -13164029.46939622 3991056.511409723))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,['8829a5622dfffff'],"['8829a56353fffff', '8829a56225fffff', '8829a5622dfffff', '8829a56221fffff', '8829a56229fffff', '8829a56267fffff', '8829a5635bfffff']","['8829a56353fffff', '8829a56227fffff', '8829a56221fffff', '8829a56265fffff', '8829a56205fffff', '8829a56357fffff', '8829a56359fffff', '8829a5622bfffff', '8829a56225fffff', '8829a56319fffff', '8829a56223fffff', '8829a56267fffff', '8829a5635bfffff', '8829a56351fffff', '8829a56261fffff', '8829a5622dfffff', '8829a56229fffff', '8829a5631bfffff', '8829a56263fffff']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Los Angeles,City,Los Angeles,Land,4,38.6,38.6,4.0,4.0,False,False,False,True,True,False,True,,,,,,,,,,,,,,,2.0,2.0,3.0,1.0,2.0,2.0,2.0
8829a56049fffff,"POLYGON ((-13165227.5392463 3993897.102242562, -13165871.95075513 3994093.320875625, -13166010.44642112 3994754.417782451, -13165504.48914769 3995219.33347436, -13164860.02405168 3995023.097878643, -13164721.56982072 3994361.963557482, -13165227.5392463 3993897.102242562))",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,['8829a56049fffff'],"['8829a5604bfffff', '8829a56049fffff', '8829a56227fffff', '8829a56041fffff', '8829a56223fffff', '8829a56235fffff', '8829a5604dfffff']","['8829a56049fffff', '8829a56227fffff', '8829a56221fffff', '8829a5623dfffff', '8829a56047fffff', '8829a56237fffff', '8829a56231fffff', '8829a5604dfffff', '8829a5604bfffff', '8829a5622bfffff', '8829a56225fffff', '8829a56223fffff', '8829a56045fffff', '8829a56313fffff', '8829a56043fffff', '8829a56041fffff', '8829a56235fffff', '8829a5631bfffff', '8829a5605dfffff']",12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4,34.0,0.0,0.0,0.0,0.0,6.0,15.0,8.0,0.0,0.0,0.0,11,3.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,3.090909090909091,0.0,0.0,0.0,0.0,0.5454545454545454,1.3636363636363635,0.7272727272727273,0.0,0.0,0.0,Los Angeles,City,Los Angeles,Land,4,80.0,38.6,6.0,2.0,True,False,False,True,True,False,True,0.0,0.0,0.0,4.0,1.0,2.0,2.0,14.0,18.0,17.0,22.0,16.0,14.0,11.0,106.0,121.0,125.0,108.0,114.0,120.0,74.0
8829a56313fffff,"POLYGON ((-13162926.62427667 3994434.152539429, -13163571.09160302 3994630.507407144, -13163709.50438243 3995291.679123097, -13163203.4083719 3995756.533350404, -13162558.88747591 3995560.161469696, -13162420.51616454 3994898.952378494, -13162926.62427667 3994434.152539429))",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,['8829a56313fffff'],"['8829a56317fffff', '8829a5604dfffff', '8829a56069fffff', '8829a5631bfffff', '8829a56045fffff', '8829a56311fffff', '8829a56313fffff']","['8829a5633bfffff', '8829a56049fffff', '8829a56227fffff', '8829a56315fffff', '8829a56047fffff', '8829a56061fffff', '8829a5604dfffff', '8829a56311fffff', '8829a56225fffff', '8829a56319fffff', '8829a56045fffff', '8829a56313fffff', '8829a5631dfffff', '8829a56317fffff', '8829a5606bfffff', '8829a56069fffff', '8829a56041fffff', '8829a5631bfffff', '8829a5606dfffff']",14.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,5,27.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,0.0,9,2.8,0.0,0.0,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.7777777777777778,0.0,0.4444444444444444,0.0,0.0,0.0,Long Beach,City,Long Beach,Land,4,95.5,38.6,7.0,3.0,False,True,False,True,True,False,True,1.0,0.0,2.0,1.0,1.0,3.0,1.0,13.0,11.0,19.0,16.0,7.0,12.0,9.0,18.0,15.0,24.0,31.0,12.0,19.0,15.0
8829a56065fffff,"POLYGON ((-13161040.26488576 3996954.62457746, -13161684.86718792 3997151.081669991, -13161823.23115691 3997812.372012216, -13161316.95132156 3998277.242617328, -13160672.29544929 3998080.768464119, -13160533.97298692 3997419.440770304, -13161040.26488576 3996954.62457746))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,['8829a56065fffff'],"['8829a56061fffff', '8829a56065fffff', '8829a5615bfffff', '8829a56159fffff', '8829a5606dfffff', '8829a56333fffff', '8829a56067fffff']","['8829a56337fffff', '8829a5633bfffff', '8829a56159fffff', '8829a56067fffff', '8829a56061fffff', '8829a56065fffff', '8829a5615bfffff', '8829a5602dfffff', '8829a56029fffff', '8829a56331fffff', '8829a56063fffff', '8829a56153fffff', '8829a56151fffff', '8829a5606bfffff', '8829a56317fffff', '8829a56069fffff', '8829a5615dfffff', '8829a5606dfffff', '8829a56333fffff']",16.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,6,47.0,0.0,0.0,0.0,0.0,15.0,10.0,15.0,0.0,0.0,0.0,14,2.6666666666666665,0.0,0.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,3.357142857142857,0.0,0.0,0.0,0.0,1.0714285714285714,0.7142857142857143,1.0714285714285714,0.0,0.0,0.0,Long Beach,City,Long Beach,Land,4,72.4,72.4,3.0,3.0,True,False,False,True,True,False,True,,,,,,,,5.0,5.0,7.0,5.0,6.0,3.0,3.0,29.0,31.0,55.0,46.0,40.0,41.0,41.0
8829a56333fffff,"POLYGON ((-13160257.36220135 3996096.829284949, -13160901.93873915 3996293.337503727, -13161040.26488576 3996954.62457746, -13160533.97298692 3997419.440770304, -13159889.34289244 3997222.915476928, -13159751.05825792 3996561.591069132, -13160257.36220135 3996096.829284949))",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,['8829a56333fffff'],"['8829a56337fffff', '8829a5633bfffff', '8829a56065fffff', '8829a56159fffff', '8829a56331fffff', '8829a5606dfffff', '8829a56333fffff']","['8829a56337fffff', '8829a5633bfffff', '8829a5633dfffff', '8829a56159fffff', '8829a56315fffff', '8829a56067fffff', '8829a56061fffff', '8829a56065fffff', '8829a5615bfffff', '8829a56331fffff', '8829a56339fffff', '8829a56335fffff', '8829a56151fffff', '8829a5614bfffff', '8829a56317fffff', '8829a56069fffff', '8829a5615dfffff', '8829a5606dfffff', '8829a56333fffff']",15.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,5,42.0,0.0,0.0,0.0,0.0,24.0,7.0,11.0,0.0,0.0,0.0,12,3.0,0.0,0.0,0.0,0.0,1.2,0.0,0.2,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,2.0,0.5833333333333334,0.9166666666666666,0.0,0.0,0.0,Long Beach,City,Long Beach,Land,4,72.4,40.7,3.0,3.0,True,False,False,True,True,False,True,2.0,2.0,4.0,1.0,1.0,0.0,1.0,8.0,2.0,13.0,8.0,8.0,5.0,8.0,29.0,19.0,49.0,40.0,29.0,37.0,28.0
8829a5635bfffff,"POLYGON ((-13163246.80246999 3990199.109936962, -13163891.08344847 3990395.464901676, -13164029.46939622 3991056.511409723, -13163523.53292946 3991521.240320713, -13162879.19840857 3991324.868362792, -13162740.8539013 3990663.7844909, -13163246.80246999 3990199.109936962))",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,['8829a5635bfffff'],"['8829a56353fffff', '8829a56359fffff', '8829a5622dfffff', '8829a56265fffff', '8829a56267fffff', '8829a5635bfffff', '8829a56351fffff']","['8829a56353fffff', '8829a5635dfffff', '8829a56265fffff', '8829a56355fffff', '8829a56221fffff', '8829a571b3fffff', '8829a56357fffff', '8829a56359fffff', '8829a5626dfffff', '8829a56225fffff', '8829a56319fffff', '8829a56267fffff', '8829a5635bfffff', '8829a56351fffff', '8829a56261fffff', '8829a571b7fffff', '8829a5622dfffff', '8829a56229fffff', '8829a56263fffff']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Los Angeles,City,Los Angeles,Land,4,38.6,38.6,4.0,4.0,False,False,False,True,True,False,True,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,1.0
8829a56227fffff,"POLYGON ((-13164444.69550868 3993039.738793959, -13165089.08137224 3993236.008561119, -13165227.5392463 3993897.102242562, -13164721.56982072 3994361.963557482, -13164077.13038338 3994165.676813736, -13163938.71394984 3993504.54573547, -13164444.69550868 3993039.738793959))",3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,['8829a56227fffff'],"['8829a56049fffff', '8829a56227fffff', '8829a56225fffff', '8829a56223fffff', '8829a56221fffff', '8829a5631bfffff', '8829a5604dfffff']","['8829a56353fffff', '8829a56049fffff', '8829a56227fffff', '8829a56221fffff', '8829a5623dfffff', '8829a56311fffff', '8829a5604dfffff', '8829a5604bfffff', '8829a5622bfffff', '8829a56225fffff', '8829a56319fffff', '8829a56223fffff', '8829a56045fffff', '8829a56313fffff', '8829a56041fffff', '8829a5622dfffff', '8829a56235fffff', '8829a56229fffff', '8829a5631bfffff']",9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,22.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,9,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4444444444444446,0.0,0.0,0.0,0.0,0.3333333333333333,0.5555555555555556,0.0,0.0,0.0,0.0,Los Angeles,City,Los Angeles,Land,4,40.7,38.6,,,False,False,False,False,False,False,True,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,4.0,7.0,3.0,7.0,3.0,30.0,30.0,34.0,34.0,27.0,35.0,18.0
