hex_id,amenities_restaurant_cnt,amenities_school_cnt,amenities_bar_cnt,amenities_college_cnt
8829a026c1fffff,2.0,,,
8829a03293fffff,2.0,,,
8829a03641fffff,2.0,1.0,,
8829a03643fffff,1.0,1.0,,
8829a03645fffff,9.0,1.0,,
8829a03651fffff,1.0,,,
8829a0374dfffff,1.0,1.0,,
8829a0a485fffff,1.0,,1.0,
8829a0a48dfffff,1.0,,,
8829a0a4a3fffff,1.0,1.0,,
8829a0a4bbfffff,1.0,1.0,,
8829a0a52bfffff,4.0,1.0,,
8829a0a535fffff,1.0,,,
8829a0a589fffff,4.0,,,
8829a0a59dfffff,2.0,,,
8829a0a5bbfffff,2.0,1.0,,
8829a0a5c1fffff,4.0,1.0,,
8829a0a5c3fffff,3.0,,,
8829a0a5d1fffff,5.0,,,
8829a0a5d5fffff,6.0,,,
8829a0a5d9fffff,3.0,,,
8829a0a5ddfffff,5.0,,,
8829a0a5ebfffff,5.0,,,
8829a0a5edfffff,1.0,1.0,,
8829a0a687fffff,1.0,,,
8829a0a697fffff,1.0,1.0,,
8829a0a6a9fffff,1.0,1.0,,
8829a0a6cbfffff,2.0,1.0,,
8829a0a6ddfffff,1.0,1.0,,
8829a0ac01fffff,4.0,1.0,,
8829a0ac09fffff,2.0,,,
8829a0aca1fffff,1.0,,,
8829a0aca5fffff,1.0,,,1.0
8829a0acb1fffff,3.0,,,
8829a0acbbfffff,4.0,,,
8829a0acc9fffff,1.0,,,2.0
8829a0accbfffff,1.0,,,
8829a0acedfffff,1.0,,,
8829a0ad85fffff,13.0,2.0,1.0,1.0
8829a0ad87fffff,3.0,4.0,,
8829a0ad91fffff,1.0,,,
8829a0ad93fffff,6.0,,,
8829a0ad95fffff,1.0,,,
8829a0ad97fffff,1.0,1.0,,
8829a0ad9bfffff,9.0,2.0,,
8829a0ada1fffff,1.0,,,6.0
8829a0ada9fffff,5.0,,,2.0
8829a0adabfffff,1.0,1.0,,1.0
8829a0adadfffff,1.0,1.0,,2.0
8829a0adb9fffff,4.0,,1.0,
